nama_lengkap,age,experience,last_education,status,total_ability,nilai_online,nilai_f2f,nilai_sikap,status_passed
Saucycool,24,0,pasca,lajang,9,71,77,baik,gagal
Verifyspoken,21,2,pasca,menikah,8,98,95,baik,gagal
Iranianprivacy,32,0,akademi,lajang,7,74,10,cukup baik,lulus
Bitswhirr,28,0,sma,lajang,6,77,74,baik,gagal
Icyblind,28,9,akademi,menikah,5,89,84,sangat baik,gagal
Thornebarber,39,8,pasca,menikah,9,78,82,baik,gagal
Rawfishhighlight,48,6,sma,lajang,6,71,76,cukup baik,gagal
Rulespeafowl,45,2,sarjana,lajang,10,91,97,cukup baik,lulus
Bimmingpulp,35,8,sarjana,menikah,9,88,80,sangat baik,lulus
Brubbingtiding,47,0,pasca,lajang,8,84,86,sangat baik,gagal
Discsubstr,25,1,pasca,menikah,6,80,85,baik,gagal
Mapdangerous,32,0,pasca,lajang,6,93,95,cukup baik,lulus
Cheaksoup,29,0,sarjana,lajang,5,84,78,sangat baik,lulus
Squeezeshallot,39,0,akademi,lajang,5,77,10,baik,gagal
Positionballer,20,9,akademi,menikah,6,96,77,cukup baik,lulus
Truemeridian,38,0,sma,lajang,8,77,97,sangat baik,gagal
Palettewere,43,10,pasca,menikah,6,98,72,baik,gagal
Stringcerebrum,35,0,akademi,lajang,9,79,76,baik,lulus
Coteriepiper,18,0,sarjana,menikah,7,10,76,sangat baik,lulus
Cinemadunking,30,7,pasca,lajang,8,79,83,sangat baik,gagal
Pushymanchester,29,1,sma,lajang,5,93,94,sangat baik,gagal
Thumbsupsushi,21,0,pasca,lajang,9,75,94,cukup baik,lulus
Pechoratree,27,1,pasca,menikah,9,89,70,cukup baik,lulus
Psychoscale,36,0,sarjana,lajang,7,93,87,cukup baik,gagal
Hoesbiping,24,10,pasca,lajang,9,86,78,cukup baik,lulus
Corybread,32,0,sma,menikah,8,78,78,cukup baik,gagal
Croodeneconomic,28,7,akademi,lajang,8,70,94,cukup baik,lulus
Fatteredacid,32,5,sarjana,menikah,5,76,96,baik,lulus
Fryerfooted,49,6,pasca,menikah,10,90,80,cukup baik,gagal
Bocolateinterval,28,5,sarjana,lajang,8,74,74,cukup baik,gagal
Sidlawspity,33,7,sma,lajang,6,85,98,baik,gagal
Doadingrecord,49,3,sarjana,menikah,5,89,72,sangat baik,gagal
Crimpboffee,28,0,sarjana,lajang,8,84,80,baik,lulus
Jobmeggings,47,5,pasca,menikah,7,95,97,sangat baik,gagal
Anchovyfoal,49,1,akademi,lajang,10,78,89,sangat baik,lulus
Memorablebrillo,46,0,sma,lajang,7,75,79,cukup baik,gagal
Bitternmaul,27,4,akademi,lajang,9,80,80,cukup baik,lulus
Turkeyredox,48,0,sarjana,lajang,5,76,95,baik,lulus
Savannaconcerned,25,3,akademi,menikah,9,93,74,sangat baik,gagal
Whitingsabine,20,3,sarjana,menikah,8,86,92,sangat baik,gagal
Brakepod,25,2,sma,menikah,5,95,72,sangat baik,gagal
Bongueacross,20,3,akademi,menikah,8,79,91,sangat baik,gagal
Viafax,40,1,akademi,lajang,10,98,98,baik,gagal
Entertaininvalid,32,2,sma,lajang,6,72,99,cukup baik,gagal
Mosquitoeadvise,22,0,pasca,menikah,8,80,90,sangat baik,lulus
Passeddopping,24,1,sma,lajang,8,99,92,sangat baik,lulus
Beautifulprey,28,2,sarjana,lajang,9,85,76,baik,gagal
Wingfreeboard,46,2,sma,lajang,8,76,89,cukup baik,gagal
Yearlyyob,29,7,pasca,lajang,6,74,77,baik,lulus
Presumablytuit,27,7,sma,lajang,9,85,81,cukup baik,lulus
Lurgerpassed,28,2,pasca,lajang,9,79,81,sangat baik,lulus
Fruitypublic,42,0,akademi,menikah,10,78,97,baik,gagal
Cystslink,38,3,sarjana,lajang,10,79,10,sangat baik,gagal
Skatesubway,40,2,sarjana,menikah,6,78,89,cukup baik,lulus
Armstoke,39,2,akademi,lajang,10,72,73,baik,gagal
Crogssailboat,48,1,sma,menikah,9,98,76,sangat baik,gagal
Solitarycommand,22,1,sarjana,lajang,5,90,96,sangat baik,lulus
Wildernesspizza,33,4,akademi,menikah,5,82,72,baik,gagal
Pencildove,46,7,akademi,lajang,8,71,98,sangat baik,gagal
Sponsonstethoscope,21,9,sma,menikah,5,76,87,sangat baik,gagal
Hodgkinmop,26,0,pasca,lajang,10,93,81,baik,gagal
Huygensbiathlon,23,2,sarjana,menikah,5,87,86,baik,lulus
Steamkoiled,25,8,sma,lajang,9,85,76,cukup baik,gagal
Juddingoral,29,2,sarjana,lajang,8,91,10,cukup baik,lulus
Chimneymouthguard,38,0,sma,menikah,9,71,84,sangat baik,lulus
Fragmentfailure,34,4,sarjana,lajang,9,95,89,baik,lulus
Handballaware,25,0,sma,lajang,7,70,97,cukup baik,lulus
Sociabletosh,44,2,sma,lajang,9,10,82,baik,gagal
Predictgovernance,21,0,sma,lajang,8,81,77,cukup baik,gagal
Siblingsfur,36,8,sma,menikah,10,82,70,cukup baik,lulus
Scottishslead,23,0,sarjana,lajang,5,82,89,sangat baik,lulus
Orbitlithuanian,38,1,pasca,menikah,9,71,78,baik,lulus
Trolleytrackball,19,2,sma,menikah,5,94,89,sangat baik,gagal
Tilerjukebox,50,2,akademi,menikah,6,93,87,baik,lulus
Discretemalicious,22,0,sarjana,menikah,10,71,10,sangat baik,gagal
Climatesiberian,40,0,sma,menikah,6,74,81,cukup baik,gagal
Otterunsuitable,26,2,pasca,lajang,9,86,71,baik,gagal
Shintbulky,25,0,pasca,lajang,8,77,94,cukup baik,lulus
Siderealhygroscopic,47,0,pasca,menikah,10,75,97,sangat baik,lulus
Atheistexcellence,33,0,akademi,menikah,7,99,79,sangat baik,lulus
Illogicalweixin,43,0,sarjana,lajang,7,98,72,sangat baik,lulus
Branchflimsy,39,2,pasca,menikah,8,81,74,baik,gagal
Shiversabstract,35,8,akademi,lajang,5,90,93,cukup baik,lulus
Meiniepreviously,22,1,pasca,menikah,7,82,84,sangat baik,gagal
Cracksternpost,40,1,pasca,menikah,9,83,86,baik,gagal
Prospectusmoussier,35,9,pasca,menikah,6,86,73,cukup baik,lulus
Insisthotel,38,2,sarjana,menikah,10,82,74,sangat baik,gagal
Ponionsmooth,25,0,sarjana,menikah,10,85,76,sangat baik,gagal
Clowntanned,37,1,pasca,lajang,6,95,83,baik,lulus
Greasybream,29,0,pasca,menikah,6,80,85,sangat baik,lulus
Mercedesmaple,32,1,sma,menikah,8,91,76,baik,gagal
Cosabrupt,19,0,akademi,lajang,8,92,76,cukup baik,lulus
Betelgeusecatered,47,0,akademi,lajang,9,93,95,cukup baik,gagal
Easilypractised,39,7,akademi,menikah,8,71,84,sangat baik,lulus
Beatherstrike,29,0,sma,menikah,10,10,84,sangat baik,lulus
Boncretecups,23,0,sma,lajang,5,70,82,sangat baik,gagal
Respectfulmethodist,19,8,akademi,lajang,5,71,78,baik,gagal
Wingedmilkshakes,18,1,pasca,lajang,10,71,97,sangat baik,lulus
Bannerwagtail,22,9,sma,lajang,10,76,70,cukup baik,gagal
Inningwake,19,0,akademi,lajang,9,94,90,cukup baik,lulus
Paternaldilation,27,1,pasca,menikah,5,97,75,baik,gagal
Snamerant,31,0,sma,lajang,8,95,75,sangat baik,lulus
Updatescode,32,9,sma,menikah,10,79,77,baik,lulus
Imminentsix,41,2,pasca,lajang,6,90,81,cukup baik,gagal
Thermometerbooted,34,0,pasca,menikah,8,99,90,baik,gagal
Fermiumbubbish,45,0,akademi,lajang,8,70,88,sangat baik,lulus
Eccleswonder,34,1,pasca,lajang,10,71,10,cukup baik,gagal
Explosivelydiffidence,31,0,sma,lajang,6,86,71,baik,lulus
Matrixhurry,27,0,sma,menikah,8,96,73,baik,gagal
Blessingsleep,36,2,akademi,lajang,10,79,80,baik,lulus
Mapresolute,47,0,pasca,menikah,6,97,73,sangat baik,gagal
Typefusion,19,2,pasca,menikah,8,91,91,sangat baik,lulus
Gasesceans,42,1,sma,menikah,7,70,84,cukup baik,lulus
Codepageflick,46,0,akademi,menikah,7,72,82,sangat baik,lulus
Calandrasnotty,29,1,sarjana,lajang,10,75,10,baik,lulus
Hawfinchselfie,19,5,sma,lajang,8,76,71,sangat baik,lulus
Hoversbodrell,18,1,sma,menikah,6,70,99,sangat baik,gagal
Careguiltless,35,1,sarjana,menikah,10,86,84,baik,lulus
Drunkjunkie,45,1,sma,lajang,9,86,80,sangat baik,lulus
Squacksquid,30,2,sarjana,lajang,5,70,98,cukup baik,lulus
Farmwatch,22,0,akademi,menikah,10,85,96,cukup baik,lulus
Ickyammeter,43,0,sarjana,lajang,8,71,91,sangat baik,lulus
Bustdesserts,45,6,sma,lajang,7,74,92,sangat baik,lulus
Slipwaysomersault,30,0,sarjana,lajang,7,72,83,cukup baik,gagal
Slicerypresian,37,0,akademi,menikah,5,87,72,baik,lulus
Deliveringnosed,46,7,sarjana,menikah,6,95,86,sangat baik,lulus
Rosetteenjoy,35,0,sma,lajang,6,72,96,sangat baik,gagal
Inclinedbread,32,1,pasca,lajang,10,94,87,cukup baik,lulus
Meddlesomemechanics,33,10,pasca,menikah,7,95,73,sangat baik,lulus
Playplanes,18,2,sma,menikah,8,79,88,sangat baik,gagal
Feetpyrenees,47,0,pasca,lajang,5,97,80,baik,lulus
Bloatinggrey,20,3,sma,menikah,5,72,97,sangat baik,lulus
Primagequeen,20,1,sma,menikah,8,71,71,sangat baik,gagal
Portblumbling,36,0,akademi,lajang,9,87,70,cukup baik,lulus
Buildercredit,20,4,sarjana,lajang,9,93,70,sangat baik,lulus
Nescafedifficult,35,0,sarjana,menikah,8,97,89,sangat baik,lulus
Guaranteedshotput,19,0,pasca,lajang,8,87,81,sangat baik,gagal
