nama_lengkap,age,experience,last_education,status,total_ability,nilai_online,nilai_f2f,nilai_sikap,status_passed
Vernia,24,0,pasca,lajang,9,71,77,baik,gagal
Layne,21,2,pasca,menikah,8,98,95,baik,gagal
Neomi,32,0,akademi,lajang,7,74,100,cukup baik,lulus
Hannah,28,0,sma,lajang,6,77,74,baik,gagal
Luciana,45,2,sarjana,lajang,10,91,97,cukup baik,lulus
Tommye,35,8,sarjana,menikah,9,88,80,sangat baik,lulus
Marshall,47,0,pasca,lajang,8,84,86,sangat baik,gagal
Dora,25,1,pasca,menikah,6,80,85,baik,gagal
Ellyn,32,0,pasca,lajang,6,93,95,cukup baik,lulus
Herta,29,0,sarjana,lajang,5,84,78,sangat baik,lulus
Leonel,39,0,akademi,lajang,5,77,100,baik,gagal
Caridad,20,9,akademi,menikah,6,96,77,cukup baik,lulus
Veronika,38,0,sma,lajang,8,77,97,sangat baik,gagal
Lincoln,43,10,pasca,menikah,6,98,72,baik,gagal
Erich,35,0,akademi,lajang,9,79,76,baik,lulus
Rickey,18,0,sarjana,menikah,7,100,76,sangat baik,lulus
Dewey,30,7,pasca,lajang,8,79,83,sangat baik,gagal
Samella,40,1,akademi,lajang,10,98,98,baik,gagal
Elinor,32,2,sma,lajang,6,72,99,cukup baik,gagal
Sandee,22,0,pasca,menikah,8,80,90,sangat baik,lulus
Maryjane,24,1,sma,lajang,8,99,92,sangat baik,lulus
Rebeca,28,2,sarjana,lajang,9,85,76,baik,gagal
Franklin,46,2,sma,lajang,8,76,89,cukup baik,gagal
Masako,29,7,pasca,lajang,6,74,77,baik,lulus
Albertha,27,7,sma,lajang,9,85,81,cukup baik,lulus
Alyson,28,2,pasca,lajang,9,79,81,sangat baik,lulus
Delinda,42,0,akademi,menikah,10,78,97,baik,gagal
Alessandra,38,3,sarjana,lajang,10,79,100,sangat baik,gagal
Luigi,40,2,sarjana,menikah,6,78,89,cukup baik,lulus
Herbert,39,2,akademi,lajang,10,72,73,baik,gagal
Kacey,48,1,sma,menikah,9,98,76,sangat baik,gagal
Eliz,22,1,sarjana,lajang,5,90,96,sangat baik,lulus
Karleen,33,4,akademi,menikah,5,82,72,baik,gagal
Lucienne,46,7,akademi,lajang,8,71,98,sangat baik,gagal
Glynda,21,9,sma,menikah,5,76,87,sangat baik,gagal
Tracy,26,0,pasca,lajang,10,93,81,baik,gagal
Janey,23,2,sarjana,menikah,5,87,86,baik,lulus
Daphine,25,8,sma,lajang,9,85,76,cukup baik,gagal
Jacquelin,29,2,sarjana,lajang,8,91,100,cukup baik,lulus
Timika,38,0,sma,menikah,9,71,84,sangat baik,lulus
Pam,34,4,sarjana,lajang,9,95,89,baik,lulus
Thea,25,0,pasca,lajang,8,77,94,cukup baik,lulus
Danita,47,0,pasca,menikah,10,75,97,sangat baik,lulus
Cordell,33,0,akademi,menikah,7,99,79,sangat baik,lulus
Raven,43,0,sarjana,lajang,7,98,72,sangat baik,lulus
Ellie,39,2,pasca,menikah,8,81,74,baik,gagal
Nathaniel,35,8,akademi,lajang,5,90,93,cukup baik,lulus
Terrance,22,1,pasca,menikah,7,82,84,sangat baik,gagal
Raymundo,40,1,pasca,menikah,9,83,86,baik,gagal
Cori,35,9,pasca,menikah,6,86,73,cukup baik,lulus
Harriet,38,2,sarjana,menikah,10,82,74,sangat baik,gagal
Leonia,25,0,sarjana,menikah,10,85,76,sangat baik,gagal
Bret,37,1,pasca,lajang,6,95,83,baik,lulus
Collen,29,0,pasca,menikah,6,80,85,sangat baik,lulus
Analisa,32,1,sma,menikah,8,91,76,baik,gagal
Leisha,19,0,akademi,lajang,8,92,76,cukup baik,lulus
Dane,47,0,akademi,lajang,9,93,95,cukup baik,gagal
Alethia,39,7,akademi,menikah,8,71,84,sangat baik,lulus
Danial,29,0,sma,menikah,10,100,84,sangat baik,lulus
Cruz,23,0,sma,lajang,5,70,82,sangat baik,gagal
